date,venue,teams,toss_winner,toss_decision,match_winner,players
2015-04-10,Maharashtra Cricket Association Stadium,"('Kings XI Punjab', 'Rajasthan Royals')",Kings XI Punjab,field,Rajasthan Royals,"(('AR Patel', 'Anureet Singh', 'DA Miller', 'GJ Bailey', 'GJ Maxwell', 'Karanveer Singh', 'M Vijay', 'MG Johnson', 'Sandeep Sharma', 'V Sehwag', 'WP Saha'), ('AM Rahane', 'CH Morris', 'DJ Hooda', 'DS Kulkarni', 'JP Faulkner', 'KK Nair', 'PV Tambe', 'SPD Smith', 'STR Binny', 'SV Samson', 'TG Southee'))"
2012-05-05,Eden Gardens,"('Kolkata Knight Riders', 'Pune Warriors')",Kolkata Knight Riders,bat,Kolkata Knight Riders,"(('BB McCullum', 'DB Das', 'G Gambhir', 'Iqbal Abdulla', 'JH Kallis', 'LR Shukla', 'M de Lange', 'MK Tiwary', 'R Bhatia', 'SP Narine', 'YK Pathan'), ('AB Dinda', 'AD Mathews', 'B Kumar', 'M Kartik', 'M Manhas', 'MJ Clarke', 'MK Pandey', 'RV Uthappa', 'SC Ganguly', 'SPD Smith', 'WD Parnell'))"
2023-05-07,"Sawai Mansingh Stadium, Jaipur","('Rajasthan Royals', 'Sunrisers Hyderabad')",Rajasthan Royals,bat,Sunrisers Hyderabad,"(('Dhruv Jurel', 'JC Buttler', 'JE Root', 'K Yadav', 'M Ashwin', 'OC McCoy', 'R Ashwin', 'SO Hetmyer', 'SV Samson', 'Sandeep Sharma', 'YBK Jaiswal', 'YS Chahal'), ('AK Markram', 'Abdul Samad', 'Abhishek Sharma', 'Anmolpreet Singh', 'B Kumar', 'GD Phillips', 'H Klaasen', 'M Jansen', 'M Markande', 'RA Tripathi', 'T Natarajan', 'Vivrant Sharma'))"
2021-04-25,"Wankhede Stadium, Mumbai","('Chennai Super Kings', 'Royal Challengers Bangalore')",Chennai Super Kings,bat,Chennai Super Kings,"(('AT Rayudu', 'DJ Bravo', 'DL Chahar', 'F du Plessis', 'Imran Tahir', 'MS Dhoni', 'RA Jadeja', 'RD Gaikwad', 'SK Raina', 'SM Curran', 'SN Thakur'), ('AB de Villiers', 'D Padikkal', 'DT Christian', 'GJ Maxwell', 'HV Patel', 'KA Jamieson', 'Mohammed Siraj', 'NA Saini', 'V Kohli', 'Washington Sundar', 'YS Chahal'))"
2009-05-21,SuperSport Park,"('Deccan Chargers', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,"(('A Symonds', 'AA Bilakhia', 'AC Gilchrist', 'HH Gibbs', 'Jaskaran Singh', 'PP Ojha', 'RG Sharma', 'RJ Harris', 'RP Singh', 'TL Suman', 'Y Venugopal Rao'), ('A Kumble', 'B Akhil', 'JH Kallis', 'LRPL Taylor', 'MK Pandey', 'MV Boucher', 'P Kumar', 'R Dravid', 'RE van der Merwe', 'RV Uthappa', 'V Kohli'))"
2024-05-17,"Wankhede Stadium, Mumbai","('Lucknow Super Giants', 'Mumbai Indians')",Mumbai Indians,field,Lucknow Super Giants,"(('A Badoni', 'Arshad Khan', 'D Padikkal', 'DJ Hooda', 'KH Pandya', 'KL Rahul', 'MJ Henry', 'MP Stoinis', 'Mohsin Khan', 'N Pooran', 'Naveen-ul-Haq', 'Ravi Bishnoi'), ('A Kamboj', 'Arjun Tendulkar', 'D Brevis', 'HH Pandya', 'Ishan Kishan', 'N Thushara', 'N Wadhera', 'Naman Dhir', 'PP Chawla', 'R Shepherd', 'RG Sharma', 'SA Yadav'))"
2021-09-28,"Zayed Cricket Stadium, Abu Dhabi","('Mumbai Indians', 'Punjab Kings')",Mumbai Indians,field,Mumbai Indians,"(('HH Pandya', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'NM Coulter-Nile', 'Q de Kock', 'RD Chahar', 'RG Sharma', 'SA Yadav', 'SS Tiwary', 'TA Boult'), ('AK Markram', 'Arshdeep Singh', 'CH Gayle', 'DJ Hooda', 'Harpreet Brar', 'KL Rahul', 'Mandeep Singh', 'Mohammed Shami', 'N Pooran', 'NT Ellis', 'Ravi Bishnoi'))"
2018-05-15,Eden Gardens,"('Kolkata Knight Riders', 'Rajasthan Royals')",Kolkata Knight Riders,field,Kolkata Knight Riders,"(('AD Russell', 'CA Lynn', 'JPR Scantlebury-Searles', 'KD Karthik', 'Kuldeep Yadav', 'M Prasidh Krishna', 'N Rana', 'RV Uthappa', 'SP Narine', 'Shivam Mavi', 'Shubman Gill'), ('AM Rahane', 'Anureet Singh', 'BA Stokes', 'IS Sodhi', 'JC Archer', 'JC Buttler', 'JD Unadkat', 'K Gowtham', 'RA Tripathi', 'STR Binny', 'SV Samson'))"
2025-04-14,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","('Chennai Super Kings', 'Lucknow Super Giants')",Chennai Super Kings,field,Chennai Super Kings,"(('A Kamboj', 'J Overton', 'KK Ahmed', 'M Pathirana', 'MS Dhoni', 'Noor Ahmad', 'R Ravindra', 'RA Jadeja', 'RA Tripathi', 'S Dube', 'SK Rasheed', 'V Shankar'), ('A Badoni', 'AK Markram', 'Abdul Samad', 'Akash Deep', 'Avesh Khan', 'DA Miller', 'DS Rathi', 'MR Marsh', 'N Pooran', 'RR Pant', 'Ravi Bishnoi', 'SN Thakur'))"
2018-04-20,Maharashtra Cricket Association Stadium,"('Chennai Super Kings', 'Rajasthan Royals')",Rajasthan Royals,field,Chennai Super Kings,"(('AT Rayudu', 'DJ Bravo', 'DL Chahar', 'Imran Tahir', 'KV Sharma', 'MS Dhoni', 'RA Jadeja', 'SK Raina', 'SN Thakur', 'SR Watson', 'SW Billings'), ('AM Rahane', 'B Laughlin', 'BA Stokes', 'H Klaasen', 'JC Buttler', 'JD Unadkat', 'K Gowtham', 'RA Tripathi', 'S Gopal', 'STR Binny', 'SV Samson'))"
2019-04-09,MA Chidambaram Stadium,"('Chennai Super Kings', 'Kolkata Knight Riders')",Chennai Super Kings,field,Chennai Super Kings,"(('AT Rayudu', 'DL Chahar', 'F du Plessis', 'Harbhajan Singh', 'Imran Tahir', 'KM Jadhav', 'MS Dhoni', 'RA Jadeja', 'SC Kuggeleijn', 'SK Raina', 'SR Watson'), ('AD Russell', 'CA Lynn', 'HF Gurney', 'KD Karthik', 'Kuldeep Yadav', 'M Prasidh Krishna', 'N Rana', 'PP Chawla', 'RV Uthappa', 'SP Narine', 'Shubman Gill'))"
2018-05-06,Holkar Cricket Stadium,"('Kings XI Punjab', 'Rajasthan Royals')",Kings XI Punjab,field,Kings XI Punjab,"(('AJ Tye', 'AR Patel', 'AS Rajpoot', 'CH Gayle', 'KK Nair', 'KL Rahul', 'MA Agarwal', 'MK Tiwary', 'MP Stoinis', 'Mujeeb Ur Rahman', 'R Ashwin'), ('AM Rahane', 'Anureet Singh', 'BA Stokes', 'DJM Short', 'JC Archer', 'JC Buttler', 'JD Unadkat', 'K Gowtham', 'RA Tripathi', 'S Gopal', 'SV Samson'))"
2025-05-02,"Narendra Modi Stadium, Ahmedabad","('Gujarat Titans', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,field,Gujarat Titans,"(('B Sai Sudharsan', 'G Coetzee', 'I Sharma', 'JC Buttler', 'M Prasidh Krishna', 'M Shahrukh Khan', 'Mohammed Siraj', 'R Sai Kishore', 'R Tewatia', 'Rashid Khan', 'Shubman Gill', 'Washington Sundar'), ('Abhishek Sharma', 'Aniket Verma', 'H Klaasen', 'HV Patel', 'Ishan Kishan', 'JD Unadkat', 'Mohammed Shami', 'Nithish Kumar Reddy', 'PHKD Mendis', 'PJ Cummins', 'TM Head', 'Zeeshan Ansari'))"
2022-03-27,"Brabourne Stadium, Mumbai","('Delhi Capitals', 'Mumbai Indians')",Delhi Capitals,field,Delhi Capitals,"(('AR Patel', 'KK Ahmed', 'KL Nagarkoti', 'Kuldeep Yadav', 'Lalit Yadav', 'Mandeep Singh', 'PP Shaw', 'R Powell', 'RR Pant', 'SN Thakur', 'TL Seifert'), ('Anmolpreet Singh', 'Basil Thampi', 'DR Sams', 'Ishan Kishan', 'JJ Bumrah', 'KA Pollard', 'M Ashwin', 'RG Sharma', 'TH David', 'TS Mills', 'Tilak Varma'))"
2021-09-24,Sharjah Cricket Stadium,"('Chennai Super Kings', 'Royal Challengers Bangalore')",Chennai Super Kings,field,Chennai Super Kings,"(('AT Rayudu', 'DJ Bravo', 'DL Chahar', 'F du Plessis', 'JR Hazlewood', 'MM Ali', 'MS Dhoni', 'RA Jadeja', 'RD Gaikwad', 'SK Raina', 'SN Thakur'), ('AB de Villiers', 'D Padikkal', 'GJ Maxwell', 'HV Patel', 'KS Bharat', 'Mohammed Siraj', 'Navdeep Saini', 'PWH de Silva', 'TH David', 'V Kohli', 'YS Chahal'))"
2023-04-23,"M Chinnaswamy Stadium, Bengaluru","('Rajasthan Royals', 'Royal Challengers Bangalore')",Rajasthan Royals,field,Royal Challengers Bangalore,"(('Abdul Basith', 'D Padikkal', 'Dhruv Jurel', 'JC Buttler', 'JO Holder', 'R Ashwin', 'SO Hetmyer', 'SV Samson', 'Sandeep Sharma', 'TA Boult', 'YBK Jaiswal', 'YS Chahal'), ('DJ Willey', 'F du Plessis', 'GJ Maxwell', 'HV Patel', 'KD Karthik', 'MK Lomror', 'Mohammed Siraj', 'PWH de Silva', 'SS Prabhudessai', 'Shahbaz Ahmed', 'V Kohli', 'Vijaykumar Vyshak'))"
2024-04-08,"MA Chidambaram Stadium, Chepauk, Chennai","('Chennai Super Kings', 'Kolkata Knight Riders')",Chennai Super Kings,field,Chennai Super Kings,"(('AM Rahane', 'DJ Mitchell', 'M Theekshana', 'MS Dhoni', 'Mustafizur Rahman', 'R Ravindra', 'RA Jadeja', 'RD Gaikwad', 'S Dube', 'SN Thakur', 'Sameer Rizvi', 'TU Deshpande'), ('A Raghuvanshi', 'AD Russell', 'AS Roy', 'CV Varun', 'MA Starc', 'PD Salt', 'RK Singh', 'Ramandeep Singh', 'SP Narine', 'SS Iyer', 'VG Arora', 'VR Iyer'))"
2009-05-09,De Beers Diamond Oval,"('Deccan Chargers', 'Kings XI Punjab')",Kings XI Punjab,field,Kings XI Punjab,"(('A Symonds', 'AC Gilchrist', 'DB Ravi Teja', 'HH Gibbs', 'PP Ojha', 'RG Sharma', 'RJ Harris', 'RP Singh', 'Shoaib Ahmed', 'TL Suman', 'Y Venugopal Rao'), ('B Lee', 'DPMD Jayawardene', 'IK Pathan', 'KC Sangakkara', 'PP Chawla', 'RR Powar', 'S Sohal', 'S Sreesanth', 'SM Katich', 'WA Mota', 'Yuvraj Singh'))"
2015-04-17,Wankhede Stadium,"('Chennai Super Kings', 'Mumbai Indians')",Mumbai Indians,bat,Chennai Super Kings,"(('A Nehra', 'BB McCullum', 'DJ Bravo', 'DR Smith', 'F du Plessis', 'IC Pandey', 'MM Sharma', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'SK Raina'), ('AT Rayudu', 'CJ Anderson', 'Harbhajan Singh', 'J Suchith', 'KA Pollard', 'LMP Simmons', 'P Suyal', 'PA Patel', 'R Vinay Kumar', 'RG Sharma', 'SL Malinga'))"
2012-05-18,"Rajiv Gandhi International Stadium, Uppal","('Deccan Chargers', 'Rajasthan Royals')",Rajasthan Royals,bat,Deccan Chargers,"(('A Ashish Reddy', 'A Mishra', 'CA Lynn', 'CL White', 'DW Steyn', 'JP Duminy', 'MS Gony', 'PA Patel', 'PA Reddy', 'S Dhawan', 'V Pratap Singh'), ('A Chandila', 'AL Menaria', 'AM Rahane', 'J Botha', 'OA Shah', 'R Dravid', 'SK Trivedi', 'SP Goswami', 'SR Watson', 'STR Binny', 'SW Tait'))"
2008-05-17,Sawai Mansingh Stadium,"('Rajasthan Royals', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Rajasthan Royals,"(('GC Smith', 'M Kaif', 'M Rawat', 'MM Patel', 'RA Jadeja', 'SA Asnodkar', 'SK Trivedi', 'SK Warne', 'SR Watson', 'Sohail Tanvir', 'YK Pathan'), ('A Kumble', 'Abdur Razzak', 'CL White', 'DT Patil', 'J Arunkumar', 'JH Kallis', 'Misbah-ul-Haq', 'P Kumar', 'R Dravid', 'V Kohli', 'Z Khan'))"
2011-05-16,Dr DY Patil Sports Academy,"('Deccan Chargers', 'Pune Warriors')",Deccan Chargers,field,Deccan Chargers,"(('A Mishra', 'B Chipli', 'DB Ravi Teja', 'DT Christian', 'DW Steyn', 'I Sharma', 'JP Duminy', 'KC Sangakkara', 'PP Ojha', 'S Dhawan', 'S Sohal'), ('B Kumar', 'CJ Ferguson', 'JD Ryder', 'M Manhas', 'MK Pandey', 'MR Marsh', 'R Sharma', 'RV Uthappa', 'SC Ganguly', 'WD Parnell', 'Yuvraj Singh'))"
2022-04-12,"Dr DY Patil Sports Academy, Mumbai","('Chennai Super Kings', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Chennai Super Kings,"(('AT Rayudu', 'CJ Jordan', 'DJ Bravo', 'M Theekshana', 'MM Ali', 'MS Dhoni', 'Mukesh Choudhary', 'RA Jadeja', 'RD Gaikwad', 'RV Uthappa', 'S Dube'), ('Akash Deep', 'Anuj Rawat', 'F du Plessis', 'GJ Maxwell', 'JR Hazlewood', 'KD Karthik', 'Mohammed Siraj', 'PWH de Silva', 'SS Prabhudessai', 'Shahbaz Ahmed', 'V Kohli'))"
2008-04-22,"Rajiv Gandhi International Stadium, Uppal","('Deccan Chargers', 'Delhi Daredevils')",Deccan Chargers,bat,Delhi Daredevils,"(('A Symonds', 'AC Gilchrist', 'AS Yadav', 'PP Ojha', 'RG Sharma', 'RP Singh', 'SB Bangar', 'Shahid Afridi', 'VVS Laxman', 'WPUJC Vaas', 'Y Venugopal Rao'), ('G Gambhir', 'GD McGrath', 'KD Karthik', 'MF Maharoof', 'MK Tiwary', 'Mohammad Asif', 'R Bhatia', 'S Dhawan', 'Shoaib Malik', 'V Sehwag', 'VY Mahesh'))"
2014-04-16,Sheikh Zayed Stadium,"('Kolkata Knight Riders', 'Mumbai Indians')",Kolkata Knight Riders,bat,Kolkata Knight Riders,"(('G Gambhir', 'JH Kallis', 'M Morkel', 'MK Pandey', 'PP Chawla', 'R Vinay Kumar', 'RV Uthappa', 'SA Yadav', 'SP Narine', 'Shakib Al Hasan', 'YK Pathan'), ('AP Tare', 'AT Rayudu', 'CJ Anderson', 'CM Gautam', 'Harbhajan Singh', 'KA Pollard', 'MEK Hussey', 'PP Ojha', 'RG Sharma', 'SL Malinga', 'Z Khan'))"
2019-03-25,Sawai Mansingh Stadium,"('Kings XI Punjab', 'Rajasthan Royals')",Rajasthan Royals,field,Kings XI Punjab,"(('AS Rajpoot', 'CH Gayle', 'KL Rahul', 'MA Agarwal', 'Mandeep Singh', 'Mohammed Shami', 'Mujeeb Ur Rahman', 'N Pooran', 'R Ashwin', 'SM Curran', 'SN Khan'), ('AM Rahane', 'BA Stokes', 'DS Kulkarni', 'JC Archer', 'JC Buttler', 'JD Unadkat', 'K Gowtham', 'RA Tripathi', 'S Gopal', 'SPD Smith', 'SV Samson'))"
2022-04-28,"Wankhede Stadium, Mumbai","('Delhi Capitals', 'Kolkata Knight Riders')",Delhi Capitals,field,Delhi Capitals,"(('AR Patel', 'C Sakariya', 'DA Warner', 'Kuldeep Yadav', 'Lalit Yadav', 'MR Marsh', 'Mustafizur Rahman', 'PP Shaw', 'R Powell', 'RR Pant', 'SN Thakur'), ('AD Russell', 'AJ Finch', 'B Indrajith', 'Harshit Rana', 'N Rana', 'RK Singh', 'SP Narine', 'SS Iyer', 'TG Southee', 'UT Yadav', 'VR Iyer'))"
2012-04-15,M Chinnaswamy Stadium,"('Rajasthan Royals', 'Royal Challengers Bangalore')",Rajasthan Royals,bat,Rajasthan Royals,"(('A Singh', 'AL Menaria', 'AM Rahane', 'BJ Hodge', 'GB Hogg', 'J Botha', 'OA Shah', 'Pankaj Singh', 'R Dravid', 'SK Trivedi', 'SP Goswami'), ('AB de Villiers', 'CH Gayle', 'DL Vettori', 'M Kaif', 'M Muralitharan', 'MA Agarwal', 'R Vinay Kumar', 'S Aravind', 'SS Tiwary', 'V Kohli', 'Z Khan'))"
2025-05-22,"Narendra Modi Stadium, Ahmedabad","('Gujarat Titans', 'Lucknow Super Giants')",Gujarat Titans,field,Lucknow Super Giants,"(('Arshad Khan', 'B Sai Sudharsan', 'JC Buttler', 'K Rabada', 'M Prasidh Krishna', 'M Shahrukh Khan', 'Mohammed Siraj', 'R Sai Kishore', 'R Tewatia', 'Rashid Khan', 'SE Rutherford', 'Shubman Gill'), ('A Badoni', 'AK Markram', 'Abdul Samad', 'Akash Deep', 'Akash Singh', 'Avesh Khan', 'Himmat Singh', 'MR Marsh', 'N Pooran', 'RR Pant', 'Shahbaz Ahmed', ""W O'Rourke""))"
2025-03-30,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","('Delhi Capitals', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,bat,Delhi Capitals,"(('AR Patel', 'Abishek Porel', 'F du Plessis', 'J Fraser-McGurk', 'KL Rahul', 'Kuldeep Yadav', 'MA Starc', 'MM Sharma', 'Mukesh Kumar', 'T Stubbs', 'V Nigam'), ('A Manohar', 'Abhishek Sharma', 'Aniket Verma', 'H Klaasen', 'HV Patel', 'Ishan Kishan', 'Mohammed Shami', 'Nithish Kumar Reddy', 'PJ Cummins', 'PWA Mulder', 'TM Head', 'Zeeshan Ansari'))"
2015-05-09,Eden Gardens,"('Kings XI Punjab', 'Kolkata Knight Riders')",Kings XI Punjab,bat,Kolkata Knight Riders,"(('AR Patel', 'Anureet Singh', 'BE Hendricks', 'DA Miller', 'GJ Bailey', 'GJ Maxwell', 'Gurkeerat Singh', 'M Vijay', 'M Vohra', 'Sandeep Sharma', 'WP Saha'), ('AD Russell', 'G Gambhir', 'GB Hogg', 'J Botha', 'MK Pandey', 'PP Chawla', 'RV Uthappa', 'SA Yadav', 'SP Narine', 'UT Yadav', 'YK Pathan'))"
2022-05-01,"Wankhede Stadium, Mumbai","('Delhi Capitals', 'Lucknow Super Giants')",Lucknow Super Giants,bat,Lucknow Super Giants,"(('AR Patel', 'C Sakariya', 'DA Warner', 'Kuldeep Yadav', 'Lalit Yadav', 'MR Marsh', 'Mustafizur Rahman', 'PP Shaw', 'R Powell', 'RR Pant', 'SN Thakur'), ('A Badoni', 'DJ Hooda', 'JO Holder', 'K Gowtham', 'KH Pandya', 'KL Rahul', 'MP Stoinis', 'Mohsin Khan', 'PVD Chameera', 'Q de Kock', 'Ravi Bishnoi'))"
2012-04-21,"MA Chidambaram Stadium, Chepauk","('Chennai Super Kings', 'Rajasthan Royals')",Rajasthan Royals,bat,Chennai Super Kings,"(('DE Bollinger', 'DJ Bravo', 'F du Plessis', 'KMDN Kulasekara', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'S Badrinath', 'SB Jakati', 'SK Raina', 'WP Saha'), ('A Singh', 'AL Menaria', 'AM Rahane', 'BJ Hodge', 'GB Hogg', 'KK Cooper', 'OA Shah', 'R Dravid', 'SK Trivedi', 'SP Goswami', 'STR Binny'))"
2019-05-07,MA Chidambaram Stadium,"('Chennai Super Kings', 'Mumbai Indians')",Chennai Super Kings,bat,Mumbai Indians,"(('AT Rayudu', 'DJ Bravo', 'DL Chahar', 'F du Plessis', 'Harbhajan Singh', 'Imran Tahir', 'M Vijay', 'MS Dhoni', 'RA Jadeja', 'SK Raina', 'SR Watson'), ('HH Pandya', 'Ishan Kishan', 'J Yadav', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'Q de Kock', 'RD Chahar', 'RG Sharma', 'SA Yadav', 'SL Malinga'))"
2009-04-24,Kingsmead,"('Kings XI Punjab', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,bat,Kings XI Punjab,"(('DPMD Jayawardene', 'IK Pathan', 'K Goel', 'KC Sangakkara', 'PP Chawla', 'RR Bose', 'RS Bopara', 'VRV Singh', 'WA Mota', 'YA Abdulla', 'Yuvraj Singh'), ('A Kumble', 'JD Ryder', 'JH Kallis', 'KP Pietersen', 'LRPL Taylor', 'P Kumar', 'Pankaj Singh', 'R Dravid', 'R Vinay Kumar', 'RV Uthappa', 'V Kohli'))"
2015-05-07,Brabourne Stadium,"('Rajasthan Royals', 'Sunrisers Hyderabad')",Rajasthan Royals,field,Sunrisers Hyderabad,"(('AM Rahane', 'CH Morris', 'DJ Hooda', 'DS Kulkarni', 'JP Faulkner', 'KK Nair', 'PV Tambe', 'SPD Smith', 'SR Watson', 'STR Binny', 'SV Samson'), ('B Kumar', 'DA Warner', 'EJG Morgan', 'GH Vihari', 'I Sharma', 'KV Sharma', 'MC Henriques', 'NV Ojha', 'P Kumar', 'RS Bopara', 'S Dhawan'))"
2025-04-02,"M Chinnaswamy Stadium, Bengaluru","('Gujarat Titans', 'Royal Challengers Bengaluru')",Gujarat Titans,field,Gujarat Titans,"(('Arshad Khan', 'B Sai Sudharsan', 'I Sharma', 'JC Buttler', 'M Prasidh Krishna', 'M Shahrukh Khan', 'Mohammed Siraj', 'R Sai Kishore', 'R Tewatia', 'Rashid Khan', 'SE Rutherford', 'Shubman Gill'), ('B Kumar', 'D Padikkal', 'JM Sharma', 'JR Hazlewood', 'KH Pandya', 'LS Livingstone', 'PD Salt', 'RM Patidar', 'Rasikh Salam', 'TH David', 'V Kohli', 'Yash Dayal'))"
2011-04-20,Wankhede Stadium,"('Mumbai Indians', 'Pune Warriors')",Pune Warriors,bat,Mumbai Indians,"(('A Symonds', 'AG Murtaza', 'AN Ahmed', 'AT Rayudu', 'JEC Franklin', 'KA Pollard', 'MM Patel', 'R Sathish', 'RG Sharma', 'SL Malinga', 'SR Tendulkar'), ('AC Thomas', 'JD Ryder', 'M Kartik', 'M Manhas', 'MD Mishra', 'R Sharma', 'RV Uthappa', 'SB Wagh', 'TD Paine', 'WD Parnell', 'Yuvraj Singh'))"
2016-05-02,M Chinnaswamy Stadium,"('Kolkata Knight Riders', 'Royal Challengers Bangalore')",Kolkata Knight Riders,field,Kolkata Knight Riders,"(('AD Russell', 'CA Lynn', 'G Gambhir', 'M Morkel', 'MK Pandey', 'PP Chawla', 'RV Uthappa', 'SA Yadav', 'SP Narine', 'UT Yadav', 'YK Pathan'), ('AB de Villiers', 'CH Gayle', 'KL Rahul', 'S Aravind', 'SR Watson', 'STR Binny', 'Sachin Baby', 'T Shamsi', 'V Kohli', 'VR Aaron', 'YS Chahal'))"
2024-05-12,"MA Chidambaram Stadium, Chepauk, Chennai","('Chennai Super Kings', 'Rajasthan Royals')",Rajasthan Royals,bat,Chennai Super Kings,"(('DJ Mitchell', 'M Theekshana', 'MM Ali', 'MS Dhoni', 'R Ravindra', 'RA Jadeja', 'RD Gaikwad', 'S Dube', 'SN Thakur', 'Sameer Rizvi', 'Simarjeet Singh', 'TU Deshpande'), ('Avesh Khan', 'Dhruv Jurel', 'JC Buttler', 'N Burger', 'R Ashwin', 'R Parag', 'SB Dubey', 'SV Samson', 'Sandeep Sharma', 'TA Boult', 'YBK Jaiswal', 'YS Chahal'))"
2021-09-22,Dubai International Cricket Stadium,"('Delhi Capitals', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,bat,Delhi Capitals,"(('A Nortje', 'AR Patel', 'Avesh Khan', 'K Rabada', 'MP Stoinis', 'PP Shaw', 'R Ashwin', 'RR Pant', 'S Dhawan', 'SO Hetmyer', 'SS Iyer'), ('Abdul Samad', 'B Kumar', 'DA Warner', 'JO Holder', 'KK Ahmed', 'KM Jadhav', 'KS Williamson', 'MK Pandey', 'Rashid Khan', 'Sandeep Sharma', 'WP Saha'))"
2009-04-29,Kingsmead,"('Kings XI Punjab', 'Mumbai Indians')",Kings XI Punjab,bat,Kings XI Punjab,"(('DPMD Jayawardene', 'IK Pathan', 'K Goel', 'KC Sangakkara', 'PP Chawla', 'RR Powar', 'RS Bopara', 'VS Malik', 'WA Mota', 'YA Abdulla', 'Yuvraj Singh'), ('AM Nayar', 'DJ Bravo', 'Harbhajan Singh', 'JP Duminy', 'PR Shah', 'S Dhawan', 'SL Malinga', 'SR Tendulkar', 'SS Tiwary', 'ST Jayasuriya', 'Z Khan'))"
2024-04-22,"Sawai Mansingh Stadium, Jaipur","('Mumbai Indians', 'Rajasthan Royals')",Mumbai Indians,bat,Rajasthan Royals,"(('G Coetzee', 'HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'Mohammad Nabi', 'N Thushara', 'N Wadhera', 'PP Chawla', 'RG Sharma', 'SA Yadav', 'TH David', 'Tilak Varma'), ('Avesh Khan', 'Dhruv Jurel', 'JC Buttler', 'R Ashwin', 'R Parag', 'R Powell', 'SO Hetmyer', 'SV Samson', 'Sandeep Sharma', 'TA Boult', 'YBK Jaiswal', 'YS Chahal'))"
2023-04-26,"M Chinnaswamy Stadium, Bengaluru","('Kolkata Knight Riders', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Kolkata Knight Riders,"(('AD Russell', 'CV Varun', 'D Wiese', 'JJ Roy', 'N Jagadeesan', 'N Rana', 'RK Singh', 'SP Narine', 'Suyash Sharma', 'UT Yadav', 'VG Arora', 'VR Iyer'), ('DJ Willey', 'F du Plessis', 'GJ Maxwell', 'HV Patel', 'KD Karthik', 'MK Lomror', 'Mohammed Siraj', 'PWH de Silva', 'SS Prabhudessai', 'Shahbaz Ahmed', 'V Kohli', 'Vijaykumar Vyshak'))"
2012-05-13,Sawai Mansingh Stadium,"('Pune Warriors', 'Rajasthan Royals')",Rajasthan Royals,bat,Rajasthan Royals,"(('A Nehra', 'AD Mathews', 'AP Majumdar', 'B Kumar', 'CJ Ferguson', 'JD Ryder', 'M Kartik', 'R Sharma', 'RV Uthappa', 'SC Ganguly', 'SPD Smith'), ('A Chandila', 'AL Menaria', 'AM Rahane', 'BJ Hodge', 'J Botha', 'R Dravid', 'SK Trivedi', 'SP Goswami', 'SR Watson', 'STR Binny', 'SW Tait'))"
2008-05-25,Eden Gardens,"('Kings XI Punjab', 'Kolkata Knight Riders')",Kings XI Punjab,bat,Kolkata Knight Riders,"(('DPMD Jayawardene', 'IK Pathan', 'JR Hopes', 'KC Sangakkara', 'PP Chawla', 'RR Powar', 'S Sreesanth', 'SE Marsh', 'TM Srivastava', 'VRV Singh', 'Yuvraj Singh'), ('A Chopra', 'AB Dinda', 'BAW Mendis', 'DB Das', 'DJ Hussey', 'I Sharma', 'LR Shukla', 'SC Ganguly', 'Salman Butt', 'Umar Gul', 'WP Saha'))"
2019-03-29,Rajiv Gandhi International Stadium,"('Rajasthan Royals', 'Sunrisers Hyderabad')",Rajasthan Royals,bat,Sunrisers Hyderabad,"(('AM Rahane', 'BA Stokes', 'DS Kulkarni', 'JC Archer', 'JC Buttler', 'JD Unadkat', 'K Gowtham', 'RA Tripathi', 'S Gopal', 'SPD Smith', 'SV Samson'), ('B Kumar', 'DA Warner', 'JM Bairstow', 'KS Williamson', 'MK Pandey', 'Rashid Khan', 'S Kaul', 'S Nadeem', 'Sandeep Sharma', 'V Shankar', 'YK Pathan'))"
2014-05-20,"Rajiv Gandhi International Stadium, Uppal","('Royal Challengers Bangalore', 'Sunrisers Hyderabad')",Royal Challengers Bangalore,bat,Sunrisers Hyderabad,"(('AB de Villiers', 'AN Ahmed', 'CH Gayle', 'M Muralitharan', 'MA Starc', 'PA Patel', 'S Rana', 'V Kohli', 'VR Aaron', 'YS Chahal', 'Yuvraj Singh'), ('AJ Finch', 'B Kumar', 'DA Warner', 'DJG Sammy', 'DW Steyn', 'IK Pathan', 'KV Sharma', 'NV Ojha', 'Parvez Rasool', 'S Dhawan', 'Y Venugopal Rao'))"
